"","Program","Year","Period","State","State.ANSI","Fruit","crop_type","Totals","Fresh Market","Process Market","Metric","Domain","Domain.Category","Value","CV...."
"1","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"2","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"3","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"4","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"5","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"6","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"7","CENSUS",2021,"YEAR","ALASKA",2,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"8","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","142","19.2"
"9","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,413,251","51.6"
"10","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","311,784,980","46"
"11","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,412,627","51.7"
"12","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","141","20.4"
"13","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"14","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,401,384","50.6"
"15","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","","OPERATIONS WITH SALES","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7","60"
"16","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","","SALES","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"17","CENSUS",2021,"YEAR","CALIFORNIA",6,"STRAWBERRIES","ORGANIC","","","SALES","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,244","(H)"
"18","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"19","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"20","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"21","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"22","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"23","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"24","CENSUS",2021,"YEAR","CONNECTICUT",9,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"25","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"26","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"27","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"28","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"29","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"30","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"31","CENSUS",2021,"YEAR","FLORIDA",12,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"32","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"33","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78"
"34","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"35","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78"
"36","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"37","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"38","CENSUS",2021,"YEAR","GEORGIA",13,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78"
"39","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"40","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"41","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"42","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"43","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"44","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"45","CENSUS",2021,"YEAR","IDAHO",16,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"46","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"47","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","PRODUCTION","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"48","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","SALES","","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95"
"49","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","SALES","","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"50","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","","OPERATIONS WITH SALES","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"51","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","","SALES","","$","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95"
"52","CENSUS",2021,"YEAR","ILLINOIS",17,"STRAWBERRIES","ORGANIC","","SALES","","CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"53","CENSUS",2021,"YEAR","INDIANA",18,"STRAWBERRIES","ORGANIC","OPERATIONS WITH SALES","","","","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
