Year,State,State.ANSI,temp3,temp4,temp23,temp43,temp44,temp45,Value,chem_name,chem_column,harm_level
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (AZOXYSTROBIN = 128810),NA,NA,"1,900",AZOXYSTROBIN,128810,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (BORAX DECAHYDRATE = 11102),NA,NA,100,BORAX DECAHYDRATE,11102,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (BOSCALID = 128008),NA,NA,"2,100",BOSCALID,128008,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (CAPTAN = 81301),NA,NA,"253,600",CAPTAN,81301,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (CYFLUFENAMID = 555550),NA,NA,500,CYFLUFENAMID,555550,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (CYPRODINIL = 288202),NA,NA,"11,300",CYPRODINIL,288202,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (FENHEXAMID = 90209),NA,NA,"16,700",FENHEXAMID,90209,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (FLUDIOXONIL = 71503),NA,NA,"7,500",FLUDIOXONIL,71503,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (FLUOPYRAM = 80302),NA,NA,"3,800",FLUOPYRAM,80302,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (FLUXAPYROXAD = 138009),NA,NA,"1,800",FLUXAPYROXAD,138009,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (MEFENOXAM = 113502),NA,NA,"2,400",MEFENOXAM,113502,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (MYCLOBUTANIL = 128857),NA,NA,"4,100",MYCLOBUTANIL,128857,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (PENTHIOPYRAD = 90112),NA,NA,"3,400",PENTHIOPYRAD,90112,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000),NA,NA,"2,300",POLYOXIN D ZINC SALT,230000,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (POTASSIUM BICARBON. = 73508),NA,NA,"10,600",POTASSIUM BICARBON.,73508,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (PROPICONAZOLE = 122101),NA,NA,"1,200",PROPICONAZOLE,122101,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (PYRACLOSTROBIN = 99100),NA,NA,"3,100",PYRACLOSTROBIN,99100,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (PYRIMETHANIL = 288201),NA,NA,"10,800",PYRIMETHANIL,288201,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (QUINOLINE = 55459),NA,NA,"2,000",QUINOLINE,55459,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (SULFUR = 77501),NA,NA,"591,200",SULFUR,77501,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (TETRACONAZOLE = 120603),NA,NA,800,TETRACONAZOLE,120603,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (THIOPHANATE-METHYL = 102001),NA,NA,"9,400",THIOPHANATE-METHYL,102001,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (THIRAM = 79801),NA,NA,"96,300",THIRAM,79801,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (TOTAL),NA,NA,"1,056,400",NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (TRIFLOXYSTROBIN = 129112),NA,NA,"3,900",TRIFLOXYSTROBIN,129112,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, FUNGICIDE, FUNGICIDE: (TRIFLUMIZOLE = 128879),NA,NA,"6,300",TRIFLUMIZOLE,128879,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, HERBICIDE, HERBICIDE: (FLUMIOXAZIN = 129034),NA,NA,500,FLUMIOXAZIN,129034,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, HERBICIDE, HERBICIDE: (OXYFLUORFEN = 111601),NA,NA,"1,700",OXYFLUORFEN,111601,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, HERBICIDE, HERBICIDE: (PENDIMETHALIN = 108501),NA,NA,"10,800",PENDIMETHALIN,108501,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, HERBICIDE, HERBICIDE: (TOTAL),NA,NA,"16,900",NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (ABAMECTIN = 122804),NA,NA,200,ABAMECTIN,122804,Ib
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (ACEQUINOCYL = 6329),NA,NA,"7,400",ACEQUINOCYL,6329,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (ACETAMIPRID = 99050),NA,NA,"2,300",ACETAMIPRID,99050,II
